boris_id,dive.id,Species,Boccia.ID,Site,submersion.type,Submersion.naturally.terminated.,Mass,SVL,Sex,Rebreathing.type
Boccia134 2 4,4,aquaticus,Boccia 134,Las_Cruces,dunk,yes,3.5,53,F,sustained
Boccia137,1,polylepis,Boccia 137,Las_Cruces,dunk,no,1.4,44,M,no
Boccia137 2,1,polylepis,Boccia 137,Las_Cruces,dunk,no,1.4,44,M,no
Boccia137 2 2,2,polylepis,Boccia 137,Las_Cruces,dunk,no,1.4,44,M,no
Boccia138,1,aquaticus,Boccia 138,Las_Cruces,dunk,yes,5.7,66,M,sustained
Boccia138 2,1,aquaticus,Boccia 138,Las_Cruces,dunk,yes,5.7,66,M,sustained
Boccia139,1,aquaticus,Boccia 139,Las_Cruces,dunk,yes,4.4,58,M,sustained
Boccia140,1,aquaticus,Boccia 140,Las_Cruces,dunk,yes,1.7,43,F,sustained
Boccia141,1,aquaticus,Boccia 141,Las_Cruces,dunk,yes,0.8,34,J,incidental
Boccia141 2,2,aquaticus,Boccia 141,Las_Cruces,dunk,yes,0.8,34,J,incidental
Boccia142,1,aquaticus,Boccia 142,Las_Cruces,dunk,yes,3,52,F,sustained
