boris_id,dive.id,Species,Boccia.ID,Site,submersion.type,Submersion.naturally.terminated.,Mass,SVL,Sex,Rebreathing.type
Boccia142 2,1,aquaticus,Boccia 142,Las_Cruces,dunk,yes,3,52,F,no
Boccia142 3,1,aquaticus,Boccia 142,Las_Cruces,dunk,yes,3,52,F,incidental
Boccia142 4,1,aquaticus,Boccia 142,Las_Cruces,dunk,yes,3,52,F,sustained
Boccia144,1,aquaticus,Boccia 144,Las_Cruces,dunk,yes,5.4,60,M,sustained
Boccia144 2,2,aquaticus,Boccia 144,Las_Cruces,dunk,yes,5.4,60,M,sustained
Boccia147,1,aquaticus,Boccia 147,Las_Cruces,dunk,yes,4.2,51,M,no
Boccia147 2,2,aquaticus,Boccia 147,Las_Cruces,dunk,yes,4.2,51,M,sustained
Boccia147 2 1,1,aquaticus,Boccia 147,Las_Cruces,dunk,yes,4.2,51,M,incidental
Boccia147 2 2,2,aquaticus,Boccia 147,Las_Cruces,dunk,yes,4.2,51,M,incidental
Boccia161,1,aquaticus,Boccia 161 ,Las_Cruces,dunk,yes,6.2,65,M,sustained
Boccia161 2,1,aquaticus,Boccia 161 ,Las_Cruces,dunk,yes,6.2,65,M,sustained
Boccia161 3,1,aquaticus,Boccia 161 ,Las_Cruces,dunk,yes,6.2,65,M,sustained
Boccia161 4,1,aquaticus,Boccia 161 ,Las_Cruces,dunk,yes,6.2,65,M,sustained
Boccia161 4 2,2,aquaticus,Boccia 161 ,Las_Cruces,dunk,yes,6.2,65,M,sustained
Boccia161 5,1,aquaticus,Boccia 161 ,Las_Cruces,dunk,yes,6.2,65,M,sustained
Boccia161 5 2,2,aquaticus,Boccia 161 ,Las_Cruces,dunk,yes,6.2,65,M,sustained
Boccia166,1,aquaticus,Boccia 166,Las_Cruces,dunk,yes,10.2,74,M,sustained
Boccia166 2,1,aquaticus,Boccia 166,Las_Cruces,dunk,yes,10.2,74,M,sustained
Boccia166 3,1,aquaticus,Boccia 166,Las_Cruces,dunk,yes,10.2,74,M,sustained
Boccia167,1,aquaticus,Boccia 167,Las_Cruces,dunk,yes,5.7,64,M,sustained
Boccia167 2,1,aquaticus,Boccia 167,Las_Cruces,dunk,yes,5.7,64,M,sustained
Boccia167 3,1,aquaticus,Boccia 167,Las_Cruces,dunk,yes,5.7,64,M,sustained
Boccia167 3 2,2,aquaticus,Boccia 167,Las_Cruces,dunk,yes,5.7,64,M,sustained
Boccia223 hide + dunk,1,maculigula,Boccia 223,Tatama,dunk,yes,8.6,72,F,sustained
Boccia224,1,maculigula,Boccia 224,Tatama,dunk,yes,23.7,110,M,no
Boccia226,1,maculigula,Boccia 226,Tatama,dunk,no,25.3,107,M,incidental
Boccia226 dunk,1,maculigula,Boccia 226,Tatama,dunk,no,25.3,107,M,incidental
Boccia226 dunk 2,2,maculigula,Boccia 226,Tatama,dunk,no,25.3,107,M,no
Boccia226 natural dive,1,maculigula,Boccia 226,Tatama,voluntary,no,25.3,107,M,no
Boccia226_2,1,maculigula,Boccia 226,Tatama,dunk,no,25.3,107,M,no
Boccia227,1,maculigula,Boccia 227,Tatama,dunk,yes,28.8,112,M,incidental
