"Species","Boccia.ID","Site","submersion.type","Submersion.naturally.terminated.","Mass","SVL","Sex","Rebreathing.type","Duration mean","num_all_rb mean","rb_full_rate mean","rb_full_int mean","first_rb mean","last_rb mean","rb_period mean","rate_adj_rb mean","low_rb mean","low_rb_rate mean","num_br mean","rate_br mean","num_gul mean","rate_gul mean","num_ch mean","rate_ch mean","dur_exh_tot mean","exh_pct mean","num_exh mean","exh_avg mean","soh mean","toh mean","hbn mean","lbn mean","num trials"
"aquaticus","Boccia 144","Las_Cruces","dunk","yes",5.4,60,"M","sustained",95.727,9.5,0.121244761972921,9.1950277777778,66.1775,146.798,80.6205,0.171092194607577,0,0,3,0.0391863681136766,6.5,0.0592951640961391,0,0,17.145,0.263865417159267,11.5,1.467125,0,9.5,0,0,2
"aquaticus","Boccia 147","Las_Cruces","dunk","yes",4.2,51,"M","sustained",93.0225,5.25,0.0434227695805788,NA,NA,NA,NA,NA,0,0,2.75,0.0257672672603698,10.75,0.138252600587612,0,0,33.2455,0.240106991551701,5.25,NA,0,5.25,0,0,4
"aquaticus","Boccia 161 ","Las_Cruces","dunk","yes",6.2,65,"M","sustained",116.566571428571,11.1428571428571,0.0968928057738653,8.05522921681493,113.942428571429,190.813,76.8705714285714,0.160359378552805,0,0,5.57142857142857,0.0468399669470512,10.8571428571429,0.0930861779527736,5.85714285714286,0.0507229922972323,30.2941428571429,0.246061065704466,13.2857142857143,2.53928184910328,0,10.7142857142857,0.428571428571429,0,7
"aquaticus","Boccia 166","Las_Cruces","dunk","yes",10.2,74,"M","sustained",171.846,25,0.133886101967152,17.670232281725,68.557,190.082333333333,129.308666666667,0.372799158334021,0.333333333333333,0.00309743284765586,8,0.0488764400961472,37.3333333333333,0.236597015785911,7.66666666666667,0.045877415545662,61.813,0.363183997856271,22,2.91525773651636,0,20.6666666666667,4.33333333333333,0.333333333333333,3
"aquaticus","Boccia 167","Las_Cruces","dunk","yes",5.7,64,"M","sustained",145.8925,16.25,0.10623163738386,29.6201290950226,144.99675,191.561,50.70025,2.50093749270265,0.75,0.00488470884191993,6.25,0.0433447764648261,22.25,0.152368533515309,5.5,0.0337616391041517,32.07675,0.213008956032506,19.25,1.5137625736532,0.75,15.5,0,0.75,4
"maculigula","Boccia 226","Tatama","dunk","no",25.3,107,"M","incidental",67.7336,1,0.0246530905697578,NA,NA,NA,NA,NA,0.2,0.00432021428262842,1.4,0.0303181014469318,1.2,0.0203786520200541,0,0,5.8646,0.142228401827849,2,NA,0.4,0.6,0,0.2,5
"maculigula","Boccia 227","Tatama","dunk","yes",28.8,112,"M","incidental",74.9235,3.25,0.0515308932201401,NA,155.2215,NA,NA,NA,1.5,0.0338615738859543,5.25,0.0800671405744754,0.5,0.0112871912953181,0,0,6.39149999999996,0.0808599011076344,8.5,3.374578125,1.5,1.75,0,1.5,4
"maculigula","Boccia 228","Tatama","dunk","yes",4,61,"F","incidental",76.2225,1,0.0119731800766283,NA,NA,NA,NA,NA,1,0.0145085237577077,0.5,0.0059865900383142,7.5,0.0974048816179504,0,0,5.5735,0.0713823394681876,3,1.851875,0,1,0,1,2
"maculigula","Boccia 231","Tatama","dunk","yes",14.2,86,"F","incidental",64.461,2.66666666666667,0.0749821036554886,9.514,77.7453333333333,75.7626666666667,11.9453333333333,0.320317666249237,0.333333333333333,0.00265589435914597,6.33333333333333,0.104196941606094,2.66666666666667,0.0262875347476653,0,NA,16.0083333333333,0.366117005076889,9,1.78736904761905,0,2.66666666666667,0,0.333333333333333,3
"maculigula","Boccia 234","Tatama","dunk","no",14.4,85,"F","sustained",177.847,2.5,0.00796426910309585,NA,NA,NA,NA,NA,0,0,2,0.0063714152824767,3,0.00955712292371505,1.5,0.00477856146185752,9.04650000000005,0.0288195041764628,4,NA,0,2.5,0,0,2
"maculigula","Boccia 235","Tatama","dunk","no",16.8,54,"F","sustained",197.2265,7,0.0480389183935236,24.380125,106.92,267.766,160.846,0.0543204070968418,0,0,1,0.00749811241822889,1.5,0.056846174252473,0,0,46.5555,0.286070979000231,7.5,5.67905555555556,5.5,1.5,0,0,2
"uniformis","Boccia 235M","Tuxtlas","dunk","yes",1.6,36,"M","incidental",178.837,3,0.0167750521424537,8.1105,337.948,335.071,2.87699999999995,1.0427528675704,2,0.0111833680949692,1,0.00559168404748458,6,0.0335501042849075,0,0,163.615,0.914883385429189,6,27.2691666666667,2,1,0,2,1
