"VideoID","ID","Start","End","Duration","num_all_rb","rb_full_rate","rb_full_int","first_rb","last_rb","rb_period","rate_adj_rb","low_rb","low_rb_rate","num_br","rate_br","num_gul","rate_gul","num_ch","rate_ch","coov","toov","hoov","dur_exh_tot","exh_pct","num_exh","exh_avg","soh","toh","hbn","lbn","dive.id","Species","Boccia.ID","Site","submersion.type","Submersion.naturally.terminated.","Mass","SVL","Sex","Rebreathing.type"
"Boccia167 3 2","Boccia 167",186.791,336.224,149.433,18,0.12045532111381,5.87841176470588,231.221,331.154,99.933,0.180120680856174,0,0,12,0.0803035474092068,32,0.214142793091218,7,0.046843735988704,0,0,0,63.415,0.424370788246237,27,2.3487037037037,0,18,0,0,2,"aquaticus","Boccia 167","Las_Cruces","dunk","yes",5.7,64,"M","sustained"
"Boccia167 3","Boccia 167",31.104,172.515,141.411,14,0.0990021992631408,36.0033846153846,155.437,152.635,2.80200000000002,4.99643112062809,2,0.0141431713233058,2,0.0141431713233058,22,0.155574884556364,2,0.0141431713233058,0,0,0,8.127,0.0574707766722532,16,0.5079375,3,11,0,2,1,"aquaticus","Boccia 167","Las_Cruces","dunk","yes",5.7,64,"M","sustained"
"Boccia167","Boccia 167",29.433,136.825,107.392,7,0.0651817640047676,15.766,37.292,131.888,94.596,0.0739989005877627,0,0,5,0.0465584028605483,13,0.121051847437426,1,0.00931168057210965,0,0,0,16.32,0.151966626936829,12,1.36,0,7,0,0,1,"aquaticus","Boccia 167","Las_Cruces","dunk","yes",5.7,64,"M","sustained"
"Boccia223 hide + dunk","Boccia 223",72.919,154.257,81.338,7,0.0911066859292231,6.62066666666667,75.229,114.953,39.724,0.176215889638506,0,0,3,0.0390457225410956,1,0.0130152408470319,0,0,4.50500000000001,4.50500000000001,4.50500000000001,28.507,0.371025470826337,11,2.59154545454545,4,3,0,0,1,"maculigula","Boccia 223","Tatama","dunk","yes",8.6,72,"F","sustained"
"Boccia224","Boccia 224",40.466,92.689,52.223,0,0,NA,NA,NA,NA,NA,0,0,4,0.0765946039101545,1,0.0191486509775386,0,NA,52.223,0,0,8.53700000000001,0.163472033395247,4,2.13425,0,0,0,0,1,"maculigula","Boccia 224","Tatama","dunk","yes",23.7,110,"M","no"
"Boccia226 dunk 2","Boccia 226",88.942,135.236,46.294,0,0,NA,NA,NA,NA,NA,1,0.0216010714131421,0,0,2,0.0432021428262842,0,0,44.798,0,0,1.124,0.0242796042683716,1,1.124,0,0,0,1,2,"maculigula","Boccia 226","Tatama","dunk","no",25.3,107,"M","no"
"Boccia226 dunk","Boccia 226",49.903,82.196,32.293,3,0.0928993899606726,4.5015,69.167,78.17,9.003,0.333222259246918,0,0,4,0.123865853280897,1,0.0309664633202242,0,0,0,0,0,19.517,0.604372464620816,4,4.87925,2,1,0,0,1,"maculigula","Boccia 226","Tatama","dunk","no",25.3,107,"M","incidental"
"Boccia226 natural dive","Boccia 226",0,34.749,34.749,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,"maculigula","Boccia 226","Tatama","voluntary","no",25.3,107,"M","no"
"Boccia226","Boccia 226",37.34,103.203,65.863,2,0.0303660628881162,1.735,60.24,61.975,1.735,1.15273775216138,0,0,1,0.0151830314440581,1,0.0151830314440581,0,0,0,0,0,3.14699999999999,0.0477809999544508,3,1.049,0,2,0,0,1,"maculigula","Boccia 226","Tatama","dunk","no",25.3,107,"M","incidental"
"Boccia226_2","Boccia 226",22.77,182.239,159.469,0,0,NA,NA,NA,NA,NA,0,0,2,0.0125416225097041,2,0.0125416225097041,0,0,0,0,0,5.535,0.034708940295606,2,2.7675,0,0,0,0,1,"maculigula","Boccia 226","Tatama","dunk","no",25.3,107,"M","no"
