"","plot","species","duration","reads","r2_lin","r2_cur","f_read","f_read_fit","w_temp","lin_aic","quad_aic","exp_aic","asym_aic","lin_lik","quad_lik","exp_lik","asym_lik","lin_int","lin_slope","quad_int","quad_x","quad_x2","quad_dir","exp_int","exp_cur","asym_int","asym_cur","asym_asym","p_lin","p_exp"
"11","./trace trials/CR/BOCCIA161.6","aquaticus","110","12","0.832411175091562","0.832616177808158","109.535","102.506480446392","22.61","73.3083073218718","78.0079050732592","73.3823591316905","NULL","-32.1541536609359","-32.1468096794867","-32.1911795658452","NULL","129.659313939477","-0.246843940846228","129.48904496673","-0.229597181174416","-0.000193248461389069","down","129.874757515422","0.00207947702835557","NULL","NULL","NULL","3.50840467746758e-05","4.47207672328099e-05"
"12","./trace trials/CR/BOCCIA166.1","aquaticus","136","18","0.858405781071202","0.862300757390102","103.895","102.741583067278","22.73","98.4500750515028","101.31063034611","98.8651825802316","NULL","-45.3678946686086","-45.1168536345935","-45.5754484329729","NULL","133.63674972427","-0.227170343066117","131.374470761107","-0.135431463136926","-0.000633810649214305","down","134.400885028606","0.00193232773193076","NULL","NULL","NULL","3.39401777632502e-08","8.46000959420714e-08"
"13","./trace trials/CR/BOCCIA166.2","aquaticus","105","48","0.884681989236883","0.885026897164077","114.411","115.290762414801","22.99","263.589189797869","265.830188116885","264.737466677055","NULL","-128.521867626207","-128.449977779373","-129.0960060658","NULL","151.51255249024","-0.344969429289887","151.04119191512","-0.320643142245169","-0.000224028807695037","down","152.372525264924","0.00258822263505348","NULL","NULL","NULL","3.29056038988917e-23","3.37856004391933e-23"
"14","./trace trials/CR/BOCCIA166.3","aquaticus","240","97","0.980449508599797","0.982805757652609","91.457","90.4983964622785","23","502.432689795084","492.152101296935","490.748332310721","492.672875847566","-248.087312639477","-241.85865934412","-242.245133897296","-242.119046619435","159.044167062656","-0.285607377501575","161.029276629191","-0.351783915981748","0.000292630875753586","up","161.345177409265","0.00227059232182735","161.065851247268","0.00198729393499211","-17.893751590756","5.57343892840908e-83","1.41866141332285e-84"
"15","./trace trials/CR/BOCCIA167.2","aquaticus","181","15","0.885762896867009","0.906029793729562","86.992","70.2083405567811","22.96","94.1390420619937","95.0277484339627","91.6223111040054","95.2352409400089","-42.9786119400878","-41.5138742169813","-41.7202464610936","-41.6176204700045","141.943829561902","-0.396328668536578","146.482598912582","-0.549414876903182","0.000995174784135737","up","145.496794410795","0.00357763464412745","146.392159637405","0.00492846328125074","31.157333010758","1.71808794958027e-07","1.89551968932722e-08"
"16","./trace trials/CR/BOCCIA167.3","aquaticus","140","5","0.996106794606207","0.996729233022129","98.714","97.4058857304791","23.07","46.0683285681847","Inf","51.827994951126","NULL","-8.03416428409235","-7.59864348460566","-10.913997475563","NULL","160.489344334481","-0.450596132885731","159.446557505989","-0.408093475255286","-0.000282462094290895","down","163.029323333761","0.00353230247979949","NULL","NULL","NULL","0.000103218570746708","0.000549448395553886"
"17","./trace trials/CR/BOCCIA167.4","aquaticus","147","37","0.952391657463356","0.962874418731331","106.306","95.1921812369378","23.1","204.278358407688","197.599120738511","198.700839942918","198.639490949988","-98.7755428402076","-94.1745603692556","-95.9867836078229","-94.6947454749941","153.381131768432","-0.395843200894515","156.871829800638","-0.581532570563284","0.00146876901868008","up","155.027183156027","0.00311209709893943","156.99877750086","0.00692717499181835","70.0753201856525","9.91437299240375e-25","2.19026675807001e-25"
"18","./trace trials/MX/Boccia245M.1","barkeri","248","8","0.550677074275937","0.572758027775463","149.329","129.213661512443","20.82","64.2640185974231","73.1942214684234","64.3751403944411","NULL","-26.1320092987116","-25.930444067545","-26.1875701972206","NULL","237.511408794395","-0.43668446484658","126.024616208327","0.932830400890952","-0.0041603555483456","down","254.086330544142","0.00260441757682237","NULL","NULL","NULL","0.0350259208861066","0.0395053009744089"
"19","./trace trials/MX/Boccia250M.1.edit","barkeri","257","20","0.258490374360552","0.258652568590971","128.65","125.895110170064","21.07","134.339579255086","137.50187073993","134.337438596718","NULL","-63.4197896275432","-63.4176020366316","-63.4187192983591","NULL","147.345528863187","-0.0834646641755724","149.822387003596","-0.111112752574431","7.31601592744076e-05","up","148.281151494017","0.000634599360355275","NULL","NULL","NULL","0.0220793373341137","0.0231207346228993"
"20","./trace trials/MX/Boccia257M.1","barkeri","148","13","0.239895894108865","0.295759516326733","147.272","118.595723036058","23.54","128.758896767643","132.099868453026","128.575143228368","132.282897415331","-60.0461150504883","-59.549934226513","-59.9542382808506","-59.6414487076653","202.076549289353","-0.564059636846591","253.940157081596","-2.13278126863282","0.0103083801182313","up","209.549155732694","0.00371002049733367","291.378939913333","0.0300486439315082","138.233304998889","0.0893240044915648","0.0891245227261803"
